"S.No.","Medicine","Formulation","Batch No.","HSN","Vendor","Packing","Quantity","Purchase Rate ()","Sale Rate ()","MRP ()","Expiry"
"1.","3 PLY MASK","MASK","2589","6307 (2.5%+2.5%)","nath medicose","1","390","1.00","5.71","6.00","02/2036"
"2.","3 PLY MASK","MASK","1234","6307 (2.5%+2.5%)","nath medicose","1","180","1.00","11.43","12.00","01/2030"
"3.","3 PLY MASK","MASK","254654","6307 (2.5%+2.5%)","nath medicose","1","500","1.00","5.71","6.00","10/2028"
"4.","3 PLY MASK","MASK","1254FGHJ","30049011 (2.5%+2.5%)","a and a hygien and surgical cre","1","300","1.10","5.71","6.00","12/2029"
"5.","3-M DYNAPLASTER","General","GP-26049","30051020 (2.5%+2.5%)","MAHADEV ENTERPRISES","1","1","225.00","317.14","333.00","02/2029"
"6.","4-TEL-40","TAB","T25C576A","30049099 (2.5%+2.5%)","GUPTA MEDICAL HALL","10","5 + {8}","25.00","31.25","32.81","02/2027"
"7.","4-TEL-AM","TAB","T25C580A","30049099 (2.5%+2.5%)","GUPTA MEDICAL HALL","10","6 + {1}","42.14","52.68","55.31","02/2027"
"8.","4TEL BETA 25","TAB","UGT26685","30044090 (2.5%+2.5%)","GUPTA MEDICAL HALL","10","7 + {2}","67.81","84.76","89.00","03/2028"
"9.","9-FM TAB","TAB","AT26-0042","30049099 (2.5%+2.5%)","GUPTA MEDICAL HALL","10","9","57.14","71.43","75.00","12/2027"
"10.","9-FM TAB","TAB","AT25-0664","30049099 (2.5%+2.5%)","GUPTA MEDICAL HALL","10","0","38.39","76.19","80.00","07/2027"
"11.","A TO Z DAILY TAB","TAB","ATZ25002","21069099 (2.5%+2.5%)","ANAND MEDICOS","15","10","179.05","223.81","235.00","05/2027"
"12.","A TO Z NS","TAB","24491199","21069099 (2.5%+2.5%)","GUPTA MEDICAL HALL","15","0","109.62","148.33","155.75","05/2026"
"13.","A TO Z NS TAB","TAB","25490629","21069099 (2.5%+2.5%)","millennium medisolutions pvt ltd.","15","0","130.17","162.71","170.85","11/2026"
"14.","A TO Z NS TAB","TAB","25490785","21069099 (2.5%+2.5%)","GUPTA MEDICAL HALL","15","1 + {16}","130.14","162.04","170.14","12/2026"
"15.","A TO Z NS TAB","TAB","25491253","21069099 (2.5%+2.5%)","millennium medisolutions pvt ltd.","15","0","130.17","162.71","170.85","04/2027"
"16.","A TO Z NS TAB","TAB","25490482","21069099 (2.5%+2.5%)","millennium medisolutions pvt ltd.","15","0","130.17","162.71","170.85","10/2026"
"17.","AB PHYLLINE 100","CAPs","GTG3109A","30049099 (2.5%+2.5%)","ANAND MEDICOS","15","0 + {9}","228.88","285.71","300.00","09/2027"
"18.","AB PHYLLINE SR 200 MG","TAB","GTG3211A","30049099 (2.5%+2.5%)","millennium medisolutions pvt ltd.","10","0","216.42","270.53","284.06","09/2027"
"19.","AB PHYLLINE SR 200 MG","TAB","GTG1615A","30049099 (2.5%+2.5%)","ANAND MEDICOS","10","0","216.52","270.53","284.06","04/2027"
"20.","AB-DRAIN SYSTEM","General","241201","90183990 (2.5%+2.5%)","a and a hygien and surgical cre","1","2","75.00","158.10","166.00","11/2029"
"21.","AB-SOFT ORAL SOLUTION","SYRUP","YL1430B","30049039 (2.5%+2.5%)","GOEL MEDICOS","1","3","95.24","209.52","220.00","09/2027"
"22.","ABGEL - OS SUSP.","SYRUP","YL2126","30049032 (2.5%+2.5%)","GOEL MEDICOS","1","22","30.00","137.14","144.00","12/2027"
"23.","ABHAYRAB VACCINE INJ","INJ","KB25032","30022016 (2.5%+2.5%)","GUPTA MEDICAL HALL","1","1","293.15","404.57","404.57","09/2028"
"24.","ABHAYTOX INJ","INJ","KN25152","3004 (2.5%+2.5%)","OM MEDICAL HALL","1","97","9.56","12.69","13.32","11/2028"
"25.","ABHYARAB INJ","INJ","KB26019","3004 (2.5%+2.5%)","NEW sai medicose","1","1","300.00","385.30","404.57","05/2029"
"26.","ABLUNG - N","TAB","AFB24B62","30049099 (2.5%+2.5%)","millennium medisolutions pvt ltd.","15","3 + {12}","164.72","205.90","216.19","11/2026"
"27.","ABLUNG SR 200 MG","TAB","AFB24A86","3004 (2.5%+2.5%)","gandhi medical hall","10","2 + {6}","170.26","212.83","223.47","09/2026"
"28.","ABSORBENT GAUGE","General","12547SFT","3005 (2.5%+2.5%)","nath medicose","1","3","150.00","238.10","250.00","10/2028"
"29.","ABSORBENT GAUGE","General","1254879","3005 (2.5%+2.5%)","nath medicose","1","5","150.00","314.29","330.00","10/2030"
"30.","ABSORBENT SPONGE 30 CM","Bandage","SP-154-AD","3005 (2.5%+2.5%)","nath medicose","1","18","31.00","76.19","80.00","10/2029"
"31.","ACCUSURE BLOOD LANCETS","Needle","25487","9018 (2.5%+2.5%)","nath medicose","1","5","40.00","106.67","112.00","10/2027"
"32.","ACCUSURE BLOOD LANCETS","Needle","6","9018 (2.5%+2.5%)","nath medicose","1","21","40.00","261.90","275.00","02/2030"
"33.","ACCUSURE LIFE STRIPS","STRIPS","1254","3822 (2.5%+2.5%)","nath medicose","1","2","490.00","561.90","590.00","10/2027"
"34.","ACCUSURE LIFE STRIPS","STRIPS","251391","3822 (2.5%+2.5%)","nath medicose","1","2","490.00","514.29","540.00","02/2027"
"35.","ACCUSURE LIFE STRIPS","STRIPS","250849","3822 (2.5%+2.5%)","nath medicose","1","4","490.00","933.33","980.00","02/2027"
"36.","ACCUSURE LIFE STRIPS","STRIPS","257643","3822 (2.5%+2.5%)","nath medicose","1","7","495.00","561.90","590.00","11/2027"
"37.","ACCUSURE LIFE STRIPS","STRIPS","1254FGH","3822 (2.5%+2.5%)","nath medicose","1","4","490.00","533.33","560.00","10/2028"
"38.","ACCUSURE LIFE STRIPS","STRIPS","255775","3822 (2.5%+2.5%)","nath medicose","1","8","490.00","1,026.67","1,078.00","09/2027"
"39.","ACCUSURE LIFE STRIPS","STRIPS","TD24L217-B","3822 (2.5%+2.5%)","nath medicose","1","1","380.00","531.25","557.81","12/2026"
"40.","ACCUSURE LIFE STRIPS","STRIPS","256416","3822 (2.5%+2.5%)","nath medicose","1","2","495.00","634.29","666.00","10/2027"
"41.","ACCUSURE PULSE OXIMETER","General","13","9018 (2.5%+2.5%)","nath medicose","1","5","730.00","1,047.62","1,100.00","01/2029"
"42.","ACCUSURE PULSE OXIMETER","General","15","9018 (2.5%+2.5%)","nath medicose","1","2","750.00","1,047.62","1,100.00","10/2028"
"43.","ACCUSURE SIMPLE GLUSE STRIP","General","125478SD","3822 (2.5%+2.5%)","nath medicose","1","3","490.00","495.24","520.00","10/2028"
"44.","ACCUSURE SIMPLE GLUSE STRIP","General","1254","3822 (2.5%+2.5%)","nath medicose","1","6","490.00","561.90","590.00","01/2028"
"45.","ACCUSURE SIMPLE GLUSE STRIP","General","12554","3822 (2.5%+2.5%)","nath medicose","1","4","490.00","571.43","600.00","01/2029"
"46.","ACCUSURE SIMPLE GLUSE STRIP","General","12548","3822 (2.5%+2.5%)","nath medicose","1","2","490.00","533.33","560.00","10/2027"
"47.","ACCUSURE SIMPLE GLUSE STRIP","General","22","3822 (2.5%+2.5%)","nath medicose","1","10","490.00","571.43","600.00","10/2030"
"48.","ACCUSURE SIMPLE GLUSE STRIP","General","TD22G204-C","3822 (2.5%+2.5%)","nath medicose","1","4","980.00","1,071.43","1,125.00","01/2027"
"49.","ACCUSURE SIMPLE GLUSE STRIP","General","12546","3822 (2.5%+2.5%)","nath medicose","1","2","490.00","523.81","550.00","10/2030"
"50.","ACCUZON PLUS 1.5 GM","INJ","18260757A","30042019 (2.5%+2.5%)","ROHIT PHARMA","1","43","37.92","171.43","180.00","01/2028"
"51.","ACCUZON PLUS 1.5 GM","INJ","CSDP25197","30042019 (2.5%+2.5%)","ROHIT PHARMA","1","0","34.47","159.05","167.00","11/2027"
"52.","ACCUZON PLUS 1.5 GM","INJ","CSDP25202","30042019 (2.5%+2.5%)","ROHIT PHARMA","1","0","34.48","161.90","170.00","11/2027"
